"food_id","name","category","diet_type","meal_type","best_time_window","quantity","quantity_unit","calories","protein_g","carbs_g","fat_g","fiber_g","iron_mg","calcium_mg","sodium_mg","potassium_mg","vitamin_d_mcg","sugars_g","glycemic_index","health_score","tags","goal_tags","common_allergies","preparation_method","doctor_note","avoid_for","ayurvedic_property","digestibility","best_paired_with","state_origin"
20,"Thepla","carb","veg","breakfast;snack","7-9 AM",2.0,"pieces",200,5.0,28.0,7.0,4.0,2.0,60,400,80,0.0,0.5,"low",7,"wheat;fenugreek;gluten","maintenance","gluten","pan-fried","Rich in iron and calcium from methi; good travel food","celiac","warm","moderate","curd;pickle","Gujarat;Rajasthan"
21,"Sabudana Khichdi","carb","veg","breakfast","7-9 AM",1.0,"cup",280,4.0,55.0,6.0,1.0,0.5,20,30,80,0.0,0.3,"high",6,"tapioca;fasting-food","maintenance","none","stir-fried","High GI; good for quick energy; avoid in diabetes","diabetes;weight loss","warm","moderate","curd;peanuts","Maharashtra"
22,"Besan Ladoo (jaggery)","carb","veg","snack","4-5 PM (occasional)",1.0,"piece 30g",130,4.0,18.0,5.0,2.0,1.5,25,10,120,0.0,9.0,"medium",6,"legume;jaggery;traditional","maintenance","none","roasted flour+jaggery","Jaggery version preferred; occasional treat; protein-rich","diabetes;weight loss","warm","heavy","nothing","Rajasthan;Pan-India"
23,"Banana","fruit","veg","breakfast;snack","7-9 AM / 10-11 AM",1.0,"medium",89,1.1,23.0,0.3,2.6,0.26,5,1,358,0.0,12.0,"high",7,"fruit;energy;potassium","maintenance;muscle_gain","none","raw","Good pre-workout fruit; avoid at night; 1-2 max per day","diabetes;weight loss (excess)","cool","easy","milk;oats;peanut butter","Pan-India"
24,"Apple","fruit","veg","breakfast;snack","7-9 AM / 10-11 AM",1.0,"medium",95,0.5,25.0,0.3,4.4,0.22,11,2,195,0.0,19.0,"low",10,"fruit;fiber;antioxidant","fat_loss;maintenance;heart_healthy;diabetes_friendly","none","raw","Eat with skin; powerful antioxidant; daily consumption","none","cool","easy","peanut butter;almonds","Pan-India"
25,"Papaya","fruit","veg","breakfast;snack","7-9 AM",1.0,"cup chunks",55,0.8,14.0,0.2,2.5,0.25,25,8,260,0.0,8.0,"low",10,"fruit;digestive;vitamin-C;low-cal","fat_loss;maintenance","none","raw","Excellent for digestion; eat early morning for maximum benefit","none","warm","easy","lime juice","Pan-India"
26,"Guava","fruit","veg","breakfast;snack","7-9 AM / 10-11 AM",1.0,"medium",68,2.6,14.0,1.0,5.4,0.26,18,3,417,0.0,1.0,"low",10,"fruit;vitamin-C;high-fiber","fat_loss;maintenance;diabetes_friendly","none","raw","Highest vitamin-C fruit; controls blood sugar; eat with seeds","none","cool","easy","chaat masala","Pan-India"
27,"Mango (seasonal)","fruit","veg","snack","10-11 AM",1.0,"cup chunks",99,1.4,25.0,0.6,2.6,0.16,11,2,168,0.0,22.0,"medium",7,"fruit;seasonal;vitamin-A","maintenance;muscle_gain","none","raw","Seasonal; rich in Vitamin A; limit in diabetes and weight loss","diabetes;obesity","warm","easy","milk;curd","Pan-India"
28,"Orange","fruit","veg","breakfast;snack","7-9 AM / 10-11 AM",1.0,"medium",62,1.2,15.0,0.2,3.1,0.13,52,0,237,0.0,12.0,"low",10,"fruit;vitamin-C;immune","fat_loss;maintenance;heart_healthy","none","raw","Best Vitamin-C source; eat whole not as juice","none","cool","easy","chaat masala","Pan-India"
29,"Watermelon","fruit","veg","snack","10-11 AM / 4-5 PM",1.0,"cup chunks",30,0.6,8.0,0.2,0.4,0.24,7,1,112,0.0,6.0,"high",8,"fruit;hydrating;low-cal","fat_loss;maintenance","none","raw","90% water; excellent for hydration; avoid at night","diabetes (large qty)","cool","easy","lime;mint","Pan-India"
30,"Pomegranate","fruit","veg","breakfast;snack","7-9 AM",0.5,"cup seeds",72,1.5,16.0,1.0,3.5,0.3,5,3,236,0.0,12.0,"low",10,"fruit;antioxidant;iron","fat_loss;maintenance;heart_healthy","none","raw","Powerful antioxidant; good for heart; helps anaemia","none","cool","easy","curd","Pan-India"
31,"Chikoo (Sapota)","fruit","veg","snack","10-11 AM",1.0,"medium",83,0.4,20.0,1.1,5.6,0.8,21,12,193,0.0,16.0,"high",7,"fruit;fiber;energy","maintenance","none","raw","High in fiber and energy; avoid in diabetes","diabetes;weight loss","warm","easy","nothing","Pan-India"
32,"Amla (Indian Gooseberry)","fruit","veg","breakfast;snack","7-9 AM empty stomach",1.0,"medium",44,0.9,10.0,0.6,4.3,0.31,25,1,200,0.0,0.0,"low",10,"fruit;vitamin-C;ayurvedic;superfood","fat_loss;maintenance;immunity;hair_health","none","raw or juice","Take 1-2 amla daily on empty stomach; best immunity booster","none","cool","easy","honey;water","Pan-India"
33,"Kiwi","fruit","veg","breakfast;snack","7-9 AM",1.0,"medium",42,0.8,10.0,0.4,2.1,0.31,34,2,215,0.0,6.0,"low",10,"fruit;vitamin-C;vitamin-K","fat_loss;maintenance;heart_healthy","none","raw","High in Vitamin-C and K; good for sleep if eaten at night","none","cool","easy","yogurt","Pan-India"
34,"Strawberries","fruit","veg","breakfast;snack","7-9 AM",1.0,"cup",49,1.0,12.0,0.5,3.0,0.68,27,1,220,0.0,7.0,"low",10,"fruit;antioxidant;low-cal","fat_loss;maintenance;heart_healthy","none","raw","Low-calorie antioxidant fruit; good for skin","none","cool","easy","yogurt;oats","Pan-India"
35,"Pear (Nashpati)","fruit","veg","breakfast;snack","10-11 AM",1.0,"medium",102,0.6,27.0,0.2,5.5,0.18,9,2,206,0.0,17.0,"low",9,"fruit;fiber;low-cal","fat_loss;maintenance;diabetes_friendly","none","raw","High in fiber; low GI; good for digestion and diabetes","none","cool","easy","nothing","Pan-India"
36,"Grapes","fruit","veg","snack","10-11 AM",1.0,"cup",104,1.1,27.0,0.2,1.4,0.54,15,3,288,0.0,23.0,"medium",7,"fruit;antioxidant;resveratrol","maintenance","none","raw","Rich in antioxidants; eat in moderation due to sugar","diabetes;weight loss (excess)","cool","easy","nothing","Pan-India"
37,"Moong Dal (yellow lentil)","protein","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup cooked",212,14.0,38.0,1.0,8.0,2.8,50,8,270,0.0,2.0,"low",10,"lentil;legume;protein;easy-digest","fat_loss;maintenance;muscle_gain;diabetes_friendly","none","boiled","Most digestible dal; easy on gut; best for sick or elderly","none","warm","easy","rice;roti","Pan-India"
38,"Masoor Dal (red lentil)","protein","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup cooked",230,18.0,40.0,0.8,8.0,3.3,38,14,480,0.0,1.0,"low",10,"lentil;legume;iron-rich;protein","fat_loss;maintenance;muscle_gain","none","boiled","Rich in iron; good for anaemia; quick to cook","none","warm","easy","rice;roti","Pan-India"
39,"Chana Dal","protein","veg","lunch;dinner","12-2 PM",1.0,"cup cooked",220,12.0,38.0,4.0,10.0,2.7,50,7,350,0.0,1.5,"low",9,"legume;high-fiber;protein","fat_loss;maintenance","none","pressure-cooked","High fiber; low GI; good for diabetics; avoid at night","IBS;night meals","warm","moderate","rice;roti","Pan-India"
40,"Rajma (kidney beans)","protein","veg","lunch;dinner","12-2 PM",1.0,"cup cooked",224,15.0,40.0,0.9,12.0,4.6,50,9,600,0.0,0.5,"low",9,"legume;high-fiber;protein;iron","fat_loss;maintenance;muscle_gain","none","pressure-cooked","High iron and fiber; always eat at lunch not dinner (heavy)","kidney disease;gout","warm","heavy","brown rice","North India"
41,"Chole (chickpeas)","protein","veg","lunch","12-2 PM",1.0,"cup cooked",268,15.0,45.0,4.0,13.0,4.7,80,24,477,0.0,7.0,"low",9,"legume;high-fiber;protein;iron","maintenance;muscle_gain","none","pressure-cooked","Very filling; high protein and fiber; avoid at night","kidney disease;IBS","warm","heavy","kulcha;rice","Pan-India"
42,"Paneer (low fat)","protein","veg","lunch;dinner","12-2 PM / 7-8 PM",100.0,"grams",265,18.0,4.0,20.0,0.0,0.2,480,30,60,0.0,2.0,"low",8,"dairy;protein;calcium","maintenance;muscle_gain;bone_health","dairy","fresh","Best vegetarian protein; buy low-fat; avoid frying","lactose intolerance","warm","moderate","palak;matar;roti","Pan-India"
43,"Tofu (firm)","protein","vegan","lunch;dinner","12-2 PM / 7-8 PM",150.0,"grams",120,13.0,3.0,6.0,2.0,2.4,350,14,150,0.0,0.5,"low",9,"soy;vegan;protein;calcium","fat_loss;maintenance;muscle_gain","soy","pan-fried or curry","Excellent vegan protein; high calcium; good for bone health","soy allergy","cool","moderate","stir-fry;curry","Pan-India"
44,"Sprouts (mixed moong)","protein","veg","breakfast;snack","7-9 AM / 4-5 PM",1.0,"cup",62,5.0,12.0,0.4,4.0,2.0,26,8,234,0.0,1.2,"low",10,"legume;raw;living-food;superfood","fat_loss;maintenance","none","sprouted","Enzymes increase after sprouting; eat raw or lightly cooked","IBS (raw)","cool","easy","lemon;chaat masala","Pan-India"
45,"Sattu Drink (roasted gram)","protein","veg","breakfast;snack","7-9 AM",2.0,"tbsp in water",140,10.0,22.0,2.0,6.0,2.6,55,10,300,0.0,0.0,"low",10,"legume;traditional;cooling;protein","fat_loss;maintenance;muscle_gain","none","dissolved in water","Bihar superfood; cooling drink in summer; high protein","none","cool","easy","lemon;jaggery","Bihar;UP"
46,"Roasted Chana (bhuna chana)","protein","veg","snack","4-5 PM",30.0,"grams",120,6.5,19.0,2.0,5.0,1.4,40,7,250,0.0,0.0,"low",10,"legume;high-fiber;portable;snack","fat_loss;maintenance;muscle_gain","none","dry roasted","Best snack for weight loss; high satiety; zero oil","none","warm","easy","jaggery;raw onion","Pan-India"
47,"Makhana (fox nuts roasted)","carb","veg","snack","4-5 PM",30.0,"grams",107,3.5,19.0,0.1,0.5,1.4,60,1,350,0.0,0.0,"low",9,"low-fat;light;ayurvedic","fat_loss;maintenance","none","dry roasted or ghee-roasted","Ayurvedic superfood; very low fat; good for joints","none","cool","easy","nothing","Bihar;Eastern India"
48,"Dal Makhani","protein","veg","lunch;dinner","12-2 PM",1.0,"cup",310,14.0,38.0,12.0,10.0,3.5,80,560,450,0.0,2.0,"low",7,"lentil;dairy;rich","maintenance;muscle_gain","dairy","slow-cooked","Nutritious but high fat due to butter/cream; limit frequency","heart disease;weight loss","warm","heavy","naan;roti","North India"
49,"Dal Tadka","protein","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",230,14.0,36.0,6.0,8.0,3.0,55,9,430,0.0,1.0,"low",9,"lentil;protein","fat_loss;maintenance;muscle_gain","none","boiled+tempered","Classic dal; nutritious; eat daily is recommended by doctors","none","warm","easy","rice;roti","Pan-India"
50,"Sambar","protein","veg","breakfast;lunch","7-9 AM / 12-2 PM",1.0,"cup",100,5.0,15.0,2.0,5.0,1.5,40,500,350,0.0,2.0,"low",10,"lentil;vegetable;probiotic-like","fat_loss;maintenance;diabetes_friendly","none","pressure-cooked","Nutritious; 20+ vegetables possible; great for immunity","none","warm","easy","idli;dosa;rice","South India"
51,"Dal Fry","protein","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",210,12.0,30.0,6.0,7.0,2.8,40,8,380,0.0,1.0,"low",8,"lentil;protein","fat_loss;maintenance;muscle_gain","none","boiled+fried tempering","Use less oil; excellent protein source for vegetarians","none","warm","easy","rice;roti","Pan-India"
52,"Palak Paneer","protein","veg","lunch;dinner","12-2 PM",1.0,"cup",280,14.0,12.0,20.0,5.0,3.5,270,400,400,0.0,2.0,"low",8,"dairy;leafy;iron;calcium","maintenance;muscle_gain;bone_health","dairy","cooked","Iron + Calcium combination; healthy gravy dish; limit cream","lactose intolerance","warm","moderate","roti;naan","Pan-India"
53,"Vegetable Khichdi","carb","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",220,7.0,40.0,4.0,5.0,2.0,40,350,350,0.0,1.0,"low",10,"rice;lentil;one-pot;complete-meal","fat_loss;maintenance;recovery","none","pressure-cooked","Doctors recommend as therapeutic food; complete protein+carb","none","warm","easy","curd;papad","Pan-India"
54,"Kadhi (yogurt curry)","protein","veg","lunch","12-2 PM",1.0,"cup",160,5.0,18.0,8.0,2.0,0.5,120,500,200,0.0,4.0,"medium",7,"dairy;probiotic;gram-flour","maintenance","dairy;gluten","cooked","Good probiotic; avoid pakoda version for weight loss","lactose intolerance","warm","moderate","rice","Rajasthan;Punjab;Gujarat"
55,"Eggs Boiled","protein","nonveg","breakfast;snack","7-9 AM",2.0,"whole",156,12.0,1.1,11.0,0.0,1.8,56,124,126,2.0,0.4,"low",10,"egg;complete-protein;vitamin-D","fat_loss;maintenance;muscle_gain","egg","boiled","Best breakfast protein; eat whole egg; 2-3 per day is safe","egg allergy","neutral","easy","toast;salad","Pan-India"
56,"Egg Whites","protein","nonveg","breakfast","7-9 AM",4.0,"whites",68,14.0,1.0,0.0,0.0,0.1,8,210,145,0.0,0.5,"low",9,"egg;low-fat;high-protein","fat_loss;muscle_gain","egg","boiled or scrambled","Zero fat; pure protein; for serious fitness goals","egg allergy","neutral","easy","vegetables;toast","Pan-India"
57,"Egg Bhurji (scrambled)","protein","nonveg","breakfast","7-9 AM",2.0,"eggs with veg",180,14.0,4.0,12.0,1.0,1.5,55,400,200,2.0,0.5,"low",9,"egg;protein;cooked-with-veg","maintenance;muscle_gain","egg","scrambled","Add onion tomato capsicum; minimal oil for health","egg allergy","warm","easy","roti;toast","Pan-India"
58,"Chicken Breast (grilled)","protein","nonveg","lunch;dinner","12-2 PM / 7-8 PM",150.0,"grams",165,31.0,0.0,3.6,0.0,0.9,15,74,370,0.1,0.0,"low",10,"poultry;lean;complete-protein","fat_loss;maintenance;muscle_gain","none","grilled/baked","Best lean protein; no skin; grilled not fried; weight loss food","none","warm","easy","salad;dal;roti","Pan-India"
59,"Tandoori Chicken","protein","nonveg","lunch;dinner","12-2 PM",2.0,"pieces",220,35.0,5.0,8.0,1.0,1.4,28,340,400,0.3,1.0,"low",9,"poultry;lean;low-fat;marinated","fat_loss;maintenance;muscle_gain","dairy","grilled in tandoor","Healthy preparation; low-fat cooking method; rich in protein","dairy allergy","warm","easy","mint chutney;salad","North India"
60,"Chicken Curry (home style)","protein","nonveg","lunch;dinner","12-2 PM",1.0,"cup",280,28.0,8.0,16.0,2.0,1.8,30,500,350,0.2,2.0,"low",8,"poultry;spiced;home-cooked","maintenance;muscle_gain","none","curry","Home-cooked healthier than restaurant; limit oil","heart disease (excess)","warm","moderate","rice;roti","Pan-India"
61,"Fish Curry (Rohu/Catla)","protein","nonveg","lunch;dinner","12-2 PM / 7-8 PM",150.0,"grams with gravy",220,28.0,5.0,10.0,0.0,1.0,100,400,450,5.0,1.0,"low",10,"fish;omega-3;complete-protein","fat_loss;maintenance;muscle_gain;heart_healthy","fish","curry","Doctors recommend fish 2-3x per week; omega-3 for heart","fish allergy","warm","easy","rice;roti","Eastern India;Coastal India"
62,"Salmon (grilled)","protein","nonveg","lunch;dinner","12-2 PM",150.0,"grams",199,28.0,0.0,9.0,0.0,0.5,15,75,490,14.0,0.0,"low",10,"fish;omega-3;vitamin-D;lean","fat_loss;maintenance;muscle_gain;heart_healthy","fish","grilled","Best omega-3 source; high Vitamin-D; eat 2x per week","fish allergy","warm","easy","salad;lemon","Pan-India"
63,"Tuna (canned drained)","protein","nonveg","lunch;snack","12-2 PM",90.0,"grams",100,22.0,0.0,1.0,0.0,1.1,10,300,200,0.2,0.0,"low",9,"fish;lean;portable","fat_loss;muscle_gain","fish","canned","Portable lean protein; rinse to reduce sodium","fish allergy;high sodium","warm","easy","salad;bread","Pan-India"
64,"Mutton Curry (lean)","protein","nonveg","lunch","12-2 PM",1.0,"cup",310,26.0,8.0,20.0,1.0,3.1,28,600,450,0.4,1.0,"low",7,"red-meat;iron;zinc","muscle_gain","none","curry","Eat max once a week; lean cuts; high iron for anaemia","heart disease;gout;kidney disease","warm","heavy","roti;rice","Pan-India"
65,"Prawns (grilled/curry)","protein","nonveg","lunch;dinner","12-2 PM",100.0,"grams",99,24.0,0.9,1.7,0.0,2.4,52,111,259,0.0,0.0,"low",9,"seafood;lean;protein","fat_loss;maintenance;muscle_gain","shellfish","grilled or curry","Low calorie; high protein; good iodine source","shellfish allergy","warm","easy","rice;salad","Coastal India"
66,"Boiled Chicken","protein","nonveg","lunch;dinner","12-2 PM / 7-8 PM",150.0,"grams",165,31.0,0.0,3.6,0.0,0.9,15,74,370,0.0,0.0,"low",10,"poultry;lean;clean","fat_loss;muscle_gain","none","boiled","Zero-fat cooking method; best for weight loss and recovery","none","warm","easy","dal;vegetables","Pan-India"
67,"Curd/Dahi (plain)","dairy","veg","lunch;snack","12-2 PM / 4-5 PM",1.0,"cup 200g",100,6.0,8.0,4.0,0.0,0.1,200,64,204,0.0,6.0,"low",10,"dairy;probiotic;calcium","fat_loss;maintenance;gut_health","dairy","fermented","Eat fresh curd daily; best probiotic; eat at lunch not dinner","lactose intolerance;night (Ayurveda)","cool","easy","rice;paratha","Pan-India"
68,"Greek Yogurt / Hung Curd","dairy","veg","breakfast;snack","7-9 AM / 4-5 PM",200.0,"grams",130,17.0,8.0,0.0,0.0,0.1,230,65,240,0.0,8.0,"low",10,"dairy;probiotic;high-protein","fat_loss;maintenance;muscle_gain","dairy","strained yogurt","High protein version of curd; best post-workout snack","lactose intolerance","cool","easy","fruits;nuts","Pan-India"
69,"Buttermilk (Chaas)","dairy","veg","lunch;snack","12-2 PM / 4-5 PM",1.0,"glass 250ml",40,3.0,5.0,1.0,0.0,0.06,120,90,200,0.0,4.0,"low",10,"dairy;probiotic;cooling;low-cal","fat_loss;maintenance;digestion","dairy","diluted curd+water+spices","Best summer drink; aids digestion; cooling effect","lactose intolerance","cool","easy","nothing","Pan-India"
70,"Milk (low fat)","dairy","veg","breakfast;snack","7-9 AM / 9-10 PM",1.0,"glass 250ml",102,8.0,12.0,2.4,0.0,0.03,300,100,350,2.0,12.0,"low",9,"dairy;calcium;protein","maintenance;muscle_gain;bone_health","dairy","boiled","Calcium for bones; drink warm at night for sleep","lactose intolerance","warm","easy","turmeric;oats","Pan-India"
71,"Paneer Tikka","protein","veg","snack;dinner","4-5 PM / 7-8 PM",6.0,"pieces",280,18.0,8.0,20.0,1.0,0.3,480,400,150,0.0,2.0,"low",7,"dairy;protein;grilled","maintenance;muscle_gain","dairy","grilled","Healthy snack if grilled not fried; high protein","lactose intolerance","warm","moderate","mint chutney","Pan-India"
72,"Raita (curd+cucumber)","dairy","veg","lunch;dinner","12-2 PM",1.0,"cup",80,5.0,8.0,3.0,1.0,0.2,170,70,220,0.0,5.0,"low",9,"dairy;probiotic;cooling","fat_loss;maintenance","dairy","mixed","Cooling; aids digestion; eat with biryani or paratha","lactose intolerance","cool","easy","biryani;paratha","Pan-India"
73,"Lassi (plain low fat)","dairy","veg","snack","12-2 PM / 4-5 PM",1.0,"glass 250ml",120,7.0,16.0,3.0,0.0,0.1,220,80,250,0.0,12.0,"medium",8,"dairy;probiotic","maintenance","dairy","blended curd+water","Good probiotic drink; avoid sugar version for weight loss","lactose intolerance;diabetes","cool","easy","nothing","Punjab"
74,"Paneer Bhurji","protein","veg","breakfast;lunch","7-9 AM / 12-2 PM",1.0,"cup",280,20.0,8.0,20.0,2.0,0.4,460,400,160,0.0,2.0,"low",8,"dairy;protein;scrambled","maintenance;muscle_gain","dairy","scrambled with veggies","High protein breakfast; use minimal oil","lactose intolerance","warm","moderate","roti;paratha","North India"
75,"Almonds","fat","veg","snack","10-11 AM soaked overnight best",25.0,"grams",144,5.0,5.0,12.0,3.0,1.0,75,0,200,0.0,1.0,"low",10,"nuts;vitamin-E;magnesium;heart-healthy","maintenance;muscle_gain;heart_healthy;brain_health","nuts","raw soaked","Soak overnight; eat 5-7 almonds per day; heart and brain health","nut allergy","warm","easy","nothing","Pan-India"
76,"Walnuts","fat","veg","snack","10-11 AM",30.0,"grams",196,5.0,4.0,20.0,2.0,0.8,28,1,125,0.0,0.7,"low",10,"nuts;omega-3;brain","maintenance;heart_healthy;brain_health","nuts","raw","Best omega-3 plant source; eat 4-5 daily; brain health","nut allergy","warm","easy","nothing","Pan-India"
77,"Cashew Nuts","fat","veg","snack","10-11 AM",30.0,"grams",163,5.0,9.0,13.0,1.0,1.9,10,3,187,0.0,2.0,"medium",7,"nuts;magnesium;zinc","maintenance;muscle_gain","nuts","raw or roasted","Rich in magnesium; eat in moderation due to calories","nut allergy;weight loss (excess)","warm","moderate","nothing","Pan-India"
78,"Peanuts (roasted)","fat","veg","snack","4-5 PM",30.0,"grams",170,8.0,5.0,14.0,2.0,0.6,24,5,200,0.0,1.0,"low",8,"nuts;groundnut;protein","maintenance;muscle_gain","nuts","dry roasted","Affordable protein and healthy fat; eat in moderation","nut allergy","warm","easy","jaggery","Pan-India"
